user_id,event_name,event_type,timestamp,class_name
1009,Screen_off,Screen_Event,2017-10-10 23:09:02+05:30,
1009,Screen_on,Screen_Event,2017-10-10 23:08:51+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:08:47+05:30,
1009,Screen_on,Screen_Event,2017-10-10 23:08:37+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:07:16+05:30,
1009,Screen_on,Screen_Event,2017-10-10 23:07:06+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:07:05+05:30,
1009,Screen_on,Screen_Event,2017-10-10 23:06:55+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:05:45+05:30,
1009,Screen_on,Screen_Event,2017-10-10 23:05:35+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:03:40+05:30,
1009,Screen_on,Screen_Event,2017-10-10 23:03:30+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:00:03+05:30,
1009,Screen_off,Screen_Event,2017-10-10 23:00:03+05:30,
1009,Screen_off,Screen_Event,2017-10-10 22:56:36+05:30,
1009,Screen_on,Screen_Event,2017-10-10 22:56:26+05:30,
1009,Screen_off,Screen_Event,2017-10-10 22:45:25+05:30,
1009,Screen_on,Screen_Event,2017-10-10 22:45:15+05:30,
1009,Screen_off,Screen_Event,2017-10-10 22:41:14+05:30,
1009,Screen_on,Screen_Event,2017-10-10 22:41:04+05:30,
1009,com.sec.android.app.launcher,2,2017-10-10 22:13:07+05:30,com.android.launcher2.Launcher
1009,com.facebook.katana,2,2017-10-10 22:13:05+05:30,com.facebook.katana.LoginActivity
1009,Screen_off,Screen_Event,2017-10-10 22:13:05+05:30,
1009,com.sec.android.app.launcher,1,2017-10-10 22:13:05+05:30,com.android.launcher2.Launcher
1009,com.sec.android.app.launcher,2,2017-10-10 22:12:22+05:30,com.android.launcher2.Launcher
1009,com.facebook.katana,1,2017-10-10 22:12:22+05:30,com.facebook.katana.LoginActivity
1009,com.sec.android.app.launcher,1,2017-10-10 22:12:21+05:30,com.android.launcher2.Launcher
1009,Phone_unlock,Screen_Event,2017-10-10 22:12:19+05:30,
1009,Screen_on,Screen_Event,2017-10-10 22:12:13+05:30,
1009,Screen_off,Screen_Event,2017-10-10 22:04:50+05:30,
1009,Screen_on,Screen_Event,2017-10-10 22:04:40+05:30,
1009,com.sec.android.app.launcher,2,2017-10-10 21:41:22+05:30,com.android.launcher2.Launcher
1009,Screen_off,Screen_Event,2017-10-10 21:41:20+05:30,
1009,com.sec.android.app.launcher,1,2017-10-10 21:41:17+05:30,com.android.launcher2.Launcher
1009,Phone_unlock,Screen_Event,2017-10-10 21:41:15+05:30,
1009,Screen_on,Screen_Event,2017-10-10 21:41:13+05:30,
1009,com.sec.android.app.launcher,2,2017-10-10 21:30:47+05:30,com.android.launcher2.Launcher
1009,com.sec.android.app.launcher,1,2017-10-10 21:30:46+05:30,com.android.launcher2.Launcher
1009,com.facebook.katana,2,2017-10-10 21:30:46+05:30,com.facebook.katana.LoginActivity
1009,Screen_off,Screen_Event,2017-10-10 21:30:45+05:30,
1009,com.sec.android.app.launcher,2,2017-10-10 21:30:20+05:30,com.android.launcher2.Launcher
1009,com.facebook.katana,1,2017-10-10 21:30:20+05:30,com.facebook.katana.LoginActivity
1009,com.sec.android.app.launcher,1,2017-10-10 21:30:17+05:30,com.android.launcher2.Launcher
1009,com.android.systemui,2,2017-10-10 21:30:17+05:30,com.android.systemui.recents.RecentsActivity
1009,com.android.systemui,1,2017-10-10 21:30:16+05:30,com.android.systemui.recents.RecentsActivity
1009,com.sec.android.app.launcher,2,2017-10-10 21:30:15+05:30,com.android.launcher2.Launcher
1009,com.sec.android.app.launcher,1,2017-10-10 21:30:15+05:30,com.android.launcher2.Launcher
1009,com.android.contacts,2,2017-10-10 21:30:14+05:30,com.android.contacts.activities.PeopleActivity
1009,com.android.contacts,1,2017-10-10 21:30:13+05:30,com.android.contacts.activities.PeopleActivity
1009,com.android.contacts,1,2017-10-10 21:30:13+05:30,com.android.dialer.DialtactsActivity
1009,com.sec.android.app.launcher,2,2017-10-10 21:30:13+05:30,com.android.launcher2.Launcher
1009,com.android.contacts,2,2017-10-10 21:30:13+05:30,com.android.dialer.DialtactsActivity
1009,com.sec.android.app.launcher,1,2017-10-10 21:29:45+05:30,com.android.launcher2.Launcher
1009,com.facebook.katana,2,2017-10-10 21:29:44+05:30,com.facebook.katana.LoginActivity
1009,com.facebook.katana,1,2017-10-10 21:28:17+05:30,com.facebook.katana.LoginActivity
1009,Phone_unlock,Screen_Event,2017-10-10 21:28:15+05:30,
1009,Screen_on,Screen_Event,2017-10-10 21:28:13+05:30,
1009,com.facebook.katana,2,2017-10-10 21:27:50+05:30,com.facebook.katana.LoginActivity
1009,Screen_off,Screen_Event,2017-10-10 21:27:48+05:30,
1009,com.facebook.katana,1,2017-10-10 21:26:48+05:30,com.facebook.katana.LoginActivity
1009,Screen_on,Screen_Event,2017-10-10 21:26:46+05:30,
